item_id,pedido_id,produto_id,quantidade,valor_unitario,subtotal
2ed736d4-f704-454f-ae27-214df255e160,4f363394-66f6-46f0-b487-1ed2a8dd9983,5,1,119.9,119.9
de06c89a-5552-4b81-bf41-b6f944f98000,4f363394-66f6-46f0-b487-1ed2a8dd9983,14,2,389.9,779.8
edd505e7-dc28-45a2-9f2c-13ccceb093b1,4f363394-66f6-46f0-b487-1ed2a8dd9983,2,2,89.9,179.8
57c3d628-55a0-4bee-a76a-8cc8dfd64fa9,38a0b829-3c0c-44b4-8d66-2d12b7352507,1,2,79.9,159.8
c264da97-519e-4ff5-a4aa-d94a4c9e496b,0a73156c-b61f-4b8c-a99b-539023b32e6c,1,2,79.9,159.8
52eb5099-867f-4d60-a827-fda278b55e82,0a73156c-b61f-4b8c-a99b-539023b32e6c,13,1,359.9,359.9
8a78c6e0-dc25-4543-a92a-1b4ccb2c6b69,0a73156c-b61f-4b8c-a99b-539023b32e6c,19,1,199.9,199.9
6688c24e-0ab3-4312-b4ef-4684ebf8aee4,0fb2dad4-8132-41eb-906c-5ded2a27f749,14,2,389.9,779.8
40ece7d9-f76e-4c74-9dd2-fe32015997bd,0fb2dad4-8132-41eb-906c-5ded2a27f749,7,2,199.9,399.8
81647112-751d-402d-a9d5-31ee6b071970,7a9e8794-82f3-4fc0-ba0d-283de59253a7,14,2,389.9,779.8
49163ae9-66c6-4161-ae90-90732fe7dbbe,c71283a1-fb76-4ac3-b582-a4ae4e8bde37,16,2,139.9,279.8
89c14740-75e1-4afe-88a4-53be75be9782,c71283a1-fb76-4ac3-b582-a4ae4e8bde37,4,1,109.9,109.9
5f56c5d4-6902-44a3-b27e-9e3f08347187,ec61b80e-a00c-4cc3-ba73-6779ba3ff869,5,2,119.9,239.8
96470b8f-b8f5-4397-be21-b321125fb0d7,ec61b80e-a00c-4cc3-ba73-6779ba3ff869,14,2,389.9,779.8
492e1989-3668-40d4-bcf3-041deb6c4589,ac26698c-ffed-470b-aa83-aa93c8d6ac79,13,1,359.9,359.9
5be5ddd3-cb4b-40e5-8e3b-1f171124f978,ac26698c-ffed-470b-aa83-aa93c8d6ac79,3,2,99.9,199.8
220a4624-6f68-4749-846c-d52e989b6c67,ed4c14dc-e0ae-4dfb-83be-e590fb0501c9,5,1,119.9,119.9
0c497b03-935c-465d-a49a-61cc264b4628,ed4c14dc-e0ae-4dfb-83be-e590fb0501c9,3,1,99.9,99.9
f1030031-b648-4a1f-a295-5b0cef9f1ded,ed4c14dc-e0ae-4dfb-83be-e590fb0501c9,11,2,299.9,599.8
12c24aca-db5b-4e1b-9035-ad44ed33f132,dcbcad91-28b7-4337-81e5-ff5ffd6fb1e4,20,1,219.9,219.9
9fc01672-4f8e-4b48-a939-85683191fa2f,73c28e41-44f5-4fb3-a67b-20d5abaf84db,3,1,99.9,99.9
056e25dd-2696-4d3f-b992-bb27eb605ae2,73c28e41-44f5-4fb3-a67b-20d5abaf84db,8,1,219.9,219.9
30c774e3-923c-4468-bbae-e362f11cfa8b,73c28e41-44f5-4fb3-a67b-20d5abaf84db,2,2,89.9,179.8
874a1571-4cee-4f2a-b3ca-e03746594f99,528b3068-a695-41c9-a178-b062b6ae30d0,5,2,119.9,239.8
ab8ad32c-406b-482c-973e-253678202037,528b3068-a695-41c9-a178-b062b6ae30d0,16,2,139.9,279.8
68ca2c26-e89b-4db3-ba74-e32ca69d83bb,528b3068-a695-41c9-a178-b062b6ae30d0,12,1,329.9,329.9
3965d2c0-9b2d-42dc-b88b-93bd79eb9f36,f9389590-5173-413d-b8d7-20765748a628,10,2,259.9,519.8
218c6bf8-da76-4ad4-a849-34e27047cc50,cf9b84e5-1c1c-4798-bd48-b4816d244024,20,1,219.9,219.9
3d71cde2-47b2-406d-99e8-0e1ce93cfd5f,cf9b84e5-1c1c-4798-bd48-b4816d244024,18,2,179.9,359.8
f7761633-397d-4953-bc2d-da6529346390,cf9b84e5-1c1c-4798-bd48-b4816d244024,6,2,179.9,359.8
a1bf2355-ed8c-492c-87ef-81b19f963239,907adf70-693c-47da-b65b-2c97f0fab52e,15,1,419.9,419.9
f18aa79d-0480-41ca-b434-76fff9962920,907adf70-693c-47da-b65b-2c97f0fab52e,20,1,219.9,219.9
40f830d8-f507-4ce9-bb7f-7ee90acf9534,907adf70-693c-47da-b65b-2c97f0fab52e,8,2,219.9,439.8
5cf827f5-69b4-4dd6-8ed5-8257b7a31426,88cfcc68-6634-46ea-b878-80f80a00c0c3,1,1,79.9,79.9
04777e75-f6d7-4554-9a43-51ab52557359,88cfcc68-6634-46ea-b878-80f80a00c0c3,17,2,159.9,319.8
2394f5a6-d0d4-4d7c-90a9-07641c4925d0,88cfcc68-6634-46ea-b878-80f80a00c0c3,6,1,179.9,179.9
5669dc28-3d56-4086-890a-4233eade6c1b,b5bfd1dc-5713-4644-b59d-84d05fdc0796,8,2,219.9,439.8
ab27d771-ba1a-4edd-85ee-64de87fc585c,b5bfd1dc-5713-4644-b59d-84d05fdc0796,11,1,299.9,299.9
7e7267c3-11e0-4425-9740-bcfaa96a4cd5,b5bfd1dc-5713-4644-b59d-84d05fdc0796,12,1,329.9,329.9
32969d0e-e4a2-4c3e-b5a6-eb004bbf2bf5,03f74246-035d-4c44-9adc-0b1cddf44cea,20,1,219.9,219.9
d14b0232-37a7-46dd-9813-f69181b7a3f0,03f74246-035d-4c44-9adc-0b1cddf44cea,17,2,159.9,319.8
f86b0279-247f-488f-bcb3-db689105d5a8,03f74246-035d-4c44-9adc-0b1cddf44cea,8,1,219.9,219.9
f67e7fa3-da55-449b-9d7d-0d0f2289f570,46d986fc-99f8-49b3-a8bb-6f76528f6239,14,1,389.9,389.9
3284799f-1f2a-4265-a343-03762cc796ff,46d986fc-99f8-49b3-a8bb-6f76528f6239,4,2,109.9,219.8
b5536780-cfc0-4861-bb33-bd44a65578e5,f0a825ce-6e1a-49f3-ae8f-1eb1175ef5d8,8,2,219.9,439.8
fc6becd9-4295-4cc2-b5f7-af53a84fbb1b,f0a825ce-6e1a-49f3-ae8f-1eb1175ef5d8,2,2,89.9,179.8
686afd74-dfd4-4d15-810b-406a41a68aa2,f0a825ce-6e1a-49f3-ae8f-1eb1175ef5d8,10,1,259.9,259.9
75f1f1fb-6e23-4e40-a061-3074b49b7fe7,ceff6bce-a635-458a-94e9-8bd815375bfe,7,2,199.9,399.8
de50e539-8eca-4555-b1c8-5faa1c8695e7,8d789bc2-5be2-4555-a40a-d3ac1bcf6685,7,1,199.9,199.9
056dbb3e-b1a6-42f6-8e47-9c58b21cf2fe,8d789bc2-5be2-4555-a40a-d3ac1bcf6685,9,1,239.9,239.9
f487ed32-e440-4566-9844-fd3d15ab9e95,8d789bc2-5be2-4555-a40a-d3ac1bcf6685,1,1,79.9,79.9
2bde806e-bcb4-489d-83bc-ad2fccaf55f1,7ee28dc8-f43d-4d25-94bb-151b5bd4c1b9,15,2,419.9,839.8
44e520e7-195c-49cd-8843-e25f9e1b418e,7ee28dc8-f43d-4d25-94bb-151b5bd4c1b9,13,1,359.9,359.9
12b2981e-3076-4543-9bb9-c87907db3642,7ee28dc8-f43d-4d25-94bb-151b5bd4c1b9,19,1,199.9,199.9
c9d4f0bc-8aca-46b4-a813-7636fb8d21c2,6e2afe35-8c56-4f29-b20f-7b707196bf9b,5,1,119.9,119.9
4c0142b0-39e7-4e42-84f7-60eedd1f6f8c,11fa6b26-e0c7-4109-9c43-3c5a4405b281,1,2,79.9,159.8
274a7791-90d1-4241-a51a-a56ad9b58392,11fa6b26-e0c7-4109-9c43-3c5a4405b281,13,2,359.9,719.8
994e8517-c61a-4d08-b57a-75af70592af2,dd5c5a74-3b70-47d1-a014-595fdabbe02a,11,1,299.9,299.9
20962c60-ffe6-496d-8a2d-e1161c947aae,dd5c5a74-3b70-47d1-a014-595fdabbe02a,8,2,219.9,439.8
98087842-a5b8-44ec-884c-5b13e49d1d0e,dd5c5a74-3b70-47d1-a014-595fdabbe02a,2,1,89.9,89.9
a3826133-6ae0-46db-9590-10000e068ef0,f72fba3a-c451-41c0-9bb4-f917a4a1eb0a,8,2,219.9,439.8
05c2e354-ec61-452d-a9d1-9dd5f0d61cd5,f72fba3a-c451-41c0-9bb4-f917a4a1eb0a,13,1,359.9,359.9
32f3eff8-4785-4ba5-9018-fcd651b5c388,f72fba3a-c451-41c0-9bb4-f917a4a1eb0a,9,1,239.9,239.9
42616e5c-3ccc-495c-8791-5f4ab825b2bf,b2dcf152-6bfd-49cb-8832-9bacd56c1559,18,1,179.9,179.9
d8ad983e-c253-44f6-b932-3ba57cd3076c,b2dcf152-6bfd-49cb-8832-9bacd56c1559,2,1,89.9,89.9
4ea09d0d-344c-4348-bcb1-48ac81746198,b2dcf152-6bfd-49cb-8832-9bacd56c1559,20,2,219.9,439.8
dd1ad85a-5e2b-4cd3-a636-da69adc5ce54,9c2951e0-b2c7-449f-8678-734f58deaf0a,9,2,239.9,479.8
ef06a64e-374c-48f3-ac58-38ca960577a2,b8463f7e-b18b-4dc5-a057-5a7e84c912c1,7,1,199.9,199.9
c3410bc3-f810-4c41-8717-b1c45ca681e0,b8463f7e-b18b-4dc5-a057-5a7e84c912c1,20,2,219.9,439.8
81388d48-c108-4632-8de6-c39df8a38e0b,b8463f7e-b18b-4dc5-a057-5a7e84c912c1,15,1,419.9,419.9
10ac109b-f31b-4f84-b797-6bd50ee80ea7,721b80f4-c055-4fad-8367-3d9bc3c29848,13,2,359.9,719.8
4b0c9ece-b2b3-4d1a-8599-27561b0cb777,a8561053-7693-498c-9729-66bf50126d22,2,1,89.9,89.9
6452c5e5-a9c3-4b6f-8e43-019f46ec919f,62e94edb-66f7-4891-959e-59ad9edd5777,19,1,199.9,199.9
e7c42767-062c-4332-9540-5c4b02b8eccd,62e94edb-66f7-4891-959e-59ad9edd5777,15,1,419.9,419.9
