pedido_id,cliente_id,data_pedido,forma_pagamento,pix_qr_code,status,canal,origem,transportadora,codigo_rastreio,prazo_entrega_dias,valor_total
4f363394-66f6-46f0-b487-1ed2a8dd9983,80d5bdea-d92d-4466-a637-d83b9e72ce6e,2026-07-10 07:18:41,PIX,14615452-6351-4c5b-a162-aacce4da8fb2,Entregue,Site,E-mail Marketing,Jadlog,BR3465149920,6.0,1079.5
38a0b829-3c0c-44b4-8d66-2d12b7352507,315b4fa2-6ee4-4a17-ae8a-1cf1ccc53f51,2024-11-20 05:24:34,Cartão de Crédito,,Cancelado,Site,Orgânico,,,,159.8
0a73156c-b61f-4b8c-a99b-539023b32e6c,3cdb91a8-758c-4535-bffc-7773d97317af,2022-08-08 16:09:13,Cartão de Crédito,,Entregue,Site,Google Ads,Correios,BR5461884538,6.0,719.6
0fb2dad4-8132-41eb-906c-5ded2a27f749,fbfaa4d8-8d98-4d95-9275-e81b8f352665,2026-05-20 02:48:22,PIX,6bc82971-639e-4b5e-b671-69b88637ffc6,Entregue,Site,Orgânico,Loggi,BR6164578412,5.0,1179.6
7a9e8794-82f3-4fc0-ba0d-283de59253a7,de488e9c-2d90-4f18-8594-cd71646d52e6,2022-09-17 05:19:48,PIX,e77adfdb-633e-4600-9ab2-7132674b8c11,Cancelado,Aplicativo,Google Ads,,,,779.8
c71283a1-fb76-4ac3-b582-a4ae4e8bde37,6ae66481-ab12-4f73-ab3e-0e96fc74870b,2022-07-23 19:35:44,Cartão de Crédito,,Entregue,Site,Instagram,Total Express,BR5049794114,8.0,389.7
ec61b80e-a00c-4cc3-ba73-6779ba3ff869,1b213a15-0996-4fa2-828b-0d43c4a08521,2024-06-18 03:20:31,Cartão de Crédito,,Entregue,Aplicativo,Instagram,Total Express,BR6534898239,9.0,1019.6
ac26698c-ffed-470b-aa83-aa93c8d6ac79,7c5b4df2-4f76-4100-a25e-e51cc357aba6,2022-11-01 15:22:45,Cartão de Débito,,Entregue,Aplicativo,Orgânico,Jadlog,BR9346051979,10.0,559.7
ed4c14dc-e0ae-4dfb-83be-e590fb0501c9,b4b4afd8-f2c4-4d0c-9080-17afeef22ffc,2023-02-11 17:22:59,PIX,058d085b-81a4-4a85-96f4-b6a96a172701,Entregue,Aplicativo,Orgânico,Correios,BR3701084738,5.0,819.6
dcbcad91-28b7-4337-81e5-ff5ffd6fb1e4,958ca825-1406-404e-93a4-7374e2c5038c,2024-03-13 05:30:26,Cartão de Débito,,Entregue,Marketplace,Facebook,Loggi,BR8101417803,6.0,219.9
73c28e41-44f5-4fb3-a67b-20d5abaf84db,8962398d-7c58-4bf6-b9bc-3be06e1289eb,2025-09-23 07:34:37,Cartão de Crédito,,Entregue,Site,Google Ads,Loggi,BR4829686422,3.0,499.6
